TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35625,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",380885,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38438,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",465208,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79427,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",566927,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50937,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",628646,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52708,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",672083,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53750,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",408802,1,1,4,True
